ID,s_1g_ppl,total_syl,average_syl,mlu_words,verb_utt,dss,ipsyn_total,word_errors,total_error
1,18.2102,248,1.1698113,2.938,0.5,8.41,45,0,5
2,21.1808,545,1.1645299,5.839,1,6.56,77,1,25
3,28.4306,233,1.0990566,2.909,0.851,4.96,56,0,8
4,16.531,436,1.4931507,2.878,0.189,6.2,58,0,18
5,22.0807,536,0.8772504,5.674,0.887,9.02,94,0,12
6,25.7567,290,0.9034268,4.422,0.953,10.24,55,0,6
7,17.7479,761,1.156535,4.656,0.673,9.8,67,1,11
8,413,239,0.9157088,4.07,0.617,12.94,41,0,5
9,17.2469,275,1.2114537,3.833,0.875,4.89,46,4,6
10,24.4727,457,1.0481651,5.723,1.214,10.44,79,2,8
11,18.0701,1017,1.1730104,5.484,1.008,10.44,86,0,29
12,25.7567,331,1.0474684,4.214,0.557,10.72,60,0,9
13,28.8338,554,1.1541667,3.948,0.941,8.06,80,0,13
14,25.8575,826,1.1568627,5.868,1.202,8.84,99,0,30
15,44.6159,940,1.2417437,5.707,0.885,7.64,75,0,29
16,22.1066,186,1,2.537,0.175,5,33,0,3
17,16.3742,524,1.2300469,5.456,0.814,9.52,80,0,31
18,20.7016,464,0.9298597,5.746,0.866,12.5,69,1,11
19,18.5375,302,1.0486111,4.344,0.803,9.29,69,0,8
20,26.1651,466,1.0286976,5.169,0.987,10.64,84,0,22
21,18.2939,784,1.1878788,6.904,1.135,10.98,90,2,31
22,22.3665,941,1.011828,6.042,1.112,10.46,97,0,32
23,31.0744,316,0.9376855,4.661,0.983,10.55,70,0,7
24,23.242,617,1.0439932,7.235,1.324,12.12,84,0,18
25,55.0765,656,0.9010989,6.3,1.261,12.34,79,3,9
26,22.7856,424,1.1041667,4.959,1.192,10.54,71,0,17
27,17.8102,898,1.2630098,7.951,1.173,12.32,89,1,20
28,25.9895,1064,1.2090909,5.938,1.117,11.88,98,1,41
29,30.2849,567,1.0718336,5.985,0.956,12.61,72,0,22
30,20.588,353,1.0828221,5,0.885,7.77,72,0,25
31,23.4522,880,1.3333333,7.308,1.177,8,80,1,12
32,22.2146,404,1.0520833,5.229,1,7.9,84,0,10
33,21.6199,518,1.0176817,6.583,1.181,9.36,86,0,13
34,20.9901,1566,1.2448331,7.397,1.386,11.6,89,0,46
35,18.4889,653,1.1681574,6.647,0.958,9.1,89,0,26
36,19.1408,592,1.2008114,7.614,1.404,13.12,78,1,12
37,23.2003,245,0.8506944,4.475,0.898,9.16,54,0,7
38,930.075,540,1.1134021,6.07,1.014,8.28,83,0,17
39,21.553,622,1.1604478,6.143,1.231,10.84,87,0,17
40,17.4354,495,1.1729858,6.441,1.017,9.44,63,0,6
41,25.2362,1783,1.0689448,8.33,1.335,14.18,101,0,59
42,629.345,473,1.0042463,5.866,0.913,6.77,74,0,20
43,20.7369,788,1.2608,4.392,0.969,7.52,81,0,25
44,20.7779,472,1.3074792,5.491,1.018,9.62,57,0,20
45,19.4319,671,1.3921162,6.651,1.175,10.16,83,0,12
46,1905.61,1029,1.1221374,4.797,1.035,7.5,86,1,38
47,23.5671,436,1.1237113,8.13,1.457,12.87,86,0,9
48,19.3463,804,1.1339915,7.448,1.184,11.02,78,0,16
49,20.5299,475,1.2837838,6.453,1.302,6.84,82,1,19
50,61.3748,370,1.0632184,6.224,1.113,9.23,69,0,4
51,25.5044,410,1.1357341,5.377,1,7.14,80,1,17
52,22.8403,1055,1.0487078,7.192,1.19,13.4,92,0,34
53,19.5989,662,1.2879377,7.723,1.385,12.56,83,0,6
54,20.8229,770,1.2068966,6.152,1.101,11.58,86,0,21
55,31.6258,578,1.2959641,5.718,1.042,8.58,91,0,31
56,24.0672,919,1.2172185,6.647,1.382,10.68,100,2,27
57,20.0957,450,1.0638298,5.689,0.852,9.66,65,0,13
58,26.0424,709,0.9403183,6.774,1.421,13.54,97,0,20
59,17.4394,473,1.2613333,5.183,1,4.91,70,0,21
60,24.4031,603,1.206,6.439,1.197,8.42,77,0,22
61,23.9568,493,1.16,6.607,1.262,10.2,80,2,24
62,17.0609,816,1.2789969,6.813,1.125,9.24,84,0,14
63,6405.61,660,1.1722913,6.541,1.329,10.42,98,1,16
64,25.568,390,1.1403509,6,1.185,8.53,80,0,11
65,19.5262,516,1.1780822,6.845,1.121,6.5,80,2,11
66,18.1802,795,1.1691176,7.024,1.141,11,91,0,39
67,26.6087,1057,1.1916573,7.602,1.315,14.08,105,1,23
68,26.8817,349,1.0028736,5.755,1.151,9.4,76,0,15
69,21.7942,840,1.1914894,7.772,1.228,12.8,92,0,26
70,29.3367,1637,1.1659544,6.405,1.297,12.3,99,0,52
71,23.7238,1369,1.1781411,7.48,1.44,13.1,100,5,28
72,21.411,928,1.2729767,8.288,1.525,12.82,96,0,31
73,21.0658,600,1.0135135,7.429,1.238,12.96,87,2,28
74,1307.25,1017,1.1452703,7.656,1.337,12.52,103,0,21
75,19.6896,646,1.2074766,6.952,1.323,8.18,84,0,11
76,20.8403,543,1.1677419,7.086,1.224,12.71,83,0,20
77,17.5124,591,1.3586207,6.786,1.143,5.71,78,0,14
78,22.3427,1098,1.1102123,7.576,1.339,14.16,98,5,25
79,27.7121,569,1.0735849,5,0.99,9.32,83,0,11
80,23.7328,531,1.0350877,5.639,1.137,8.46,84,1,14
81,24.6998,402,1.2072072,4.306,0.819,5.84,72,0,6
82,23.5479,657,1.0648298,6.477,1.033,13.08,90,0,22
83,30.0461,737,1.0934718,7,1.371,12.28,89,0,13
84,22.8599,405,1.0828877,6.123,1.172,11.49,77,0,18
85,25.4418,538,1.0247619,6.632,1.194,13.42,91,0,14
86,22.6162,451,1.0763723,5.776,1.121,9.96,81,0,6
87,19.9998,467,1.0241228,5.984,1.063,12.63,78,3,8
88,24.9418,875,1.0910224,7.494,1.319,13.84,96,1,21
89,25.3588,877,1.0566265,7.878,1.329,15.2,99,0,17
90,22.8022,471,1.0608108,5.562,0.986,8.66,80,1,9
91,20.7053,551,1.1527197,5.775,0.958,11.6,85,0,15
92,22.0642,748,1.1929825,7.432,1.58,14.14,98,0,20
93,25.3654,1082,1.0423892,7.19,1.287,14.44,102,0,25
94,21.7396,617,1.0081699,6.538,1.359,12.44,92,0,11
95,23.582,707,1.1822742,6.883,1.231,10.24,89,0,22
96,27.5999,1430,1.0858011,7.697,1.603,14.36,103,2,41
97,24.9605,631,1.0031797,6.686,1.227,11.86,73,1,13
98,21.9184,826,0.9729093,6.35,1.12,10.74,88,1,17
99,23.6577,429,1.1056701,6.855,1.164,12.92,81,0,13
100,25.3659,574,1.1933472,5.709,1.152,7.6,91,0,21
101,20.0053,548,1.0579151,6.783,1.167,11.76,71,0,3
102,20.2662,493,1.202439,6.948,1.034,8.06,77,0,27
103,27.7953,361,1.0403458,4.621,0.928,9.96,86,1,20
104,23.5051,384,0.96,6.051,1.203,11.44,66,0,8
105,22.3128,427,0.9638826,6.246,1.048,11.48,61,1,6
106,21.474,561,1.0685714,6.013,1.013,10.52,81,0,9
107,22.1757,313,1.0719178,4.931,1.052,12.24,67,1,6
108,24.7357,350,1.1290323,4.552,0.949,8.43,68,2,12
109,23.4115,883,1.1836461,7.609,1.333,9.1,93,0,17
110,22.1657,435,1.6666667,4.017,0.115,5.29,44,1,18
111,20.2047,570,1.091954,7.246,1.295,12.62,81,1,15
112,20.3669,489,1.1926829,5.897,1.034,8.98,80,0,12
113,23.1411,644,1.0387097,8.029,1.58,13.94,90,1,15
114,21.7588,334,0.9355742,5.518,0.911,7.02,71,1,16
115,23.2511,448,0.9087221,6.086,1.129,10.14,86,0,11
116,23.6853,333,1.0776699,4.07,0.931,7.38,73,0,12
117,1657.14,637,1.1314387,7.139,1.139,11.96,84,0,15
118,24.1687,399,0.932243,4.871,1.029,7.92,81,1,18
119,21.5071,664,1.1608392,7.561,1.121,13.1,90,4,16
120,21.8637,699,1.1166134,7.449,1.391,13.32,91,1,18
121,22.2075,331,1.0030303,5.259,1.051,12.23,59,2,1
122,26.0936,713,1.1071429,5.327,1.115,10.5,87,1,33
123,25.2363,472,1.1979695,4.942,0.914,8.3,88,1,16
124,20.5218,342,1.0721003,4.917,1.083,10.22,60,0,5
125,23.0736,416,1.0171149,6.213,1.18,12.49,76,0,15
126,23.3986,842,1.2274052,7.023,1.302,12.46,97,0,17
127,17.8693,435,1.2572254,6.54,1.24,8,69,0,7
128,21.7101,869,1.2326241,7.938,1.432,8.6,97,1,17
129,17.953,541,1.2184685,5.677,1.246,11.14,69,1,4
130,19.4857,885,1.2106703,7.31,1.092,9.22,92,0,17
131,24.7196,1095,1.1587302,8.101,1.432,14.02,102,0,30
132,20.5553,469,1.0173536,6.435,1.194,11.76,67,0,2
133,24.9411,631,1.1431159,7,1.26,13.34,86,0,14
134,25.2996,772,1.0279627,6.73,1.167,13.12,95,0,44
135,20.9089,451,1.1163366,5.531,1.047,8.46,73,4,7
136,22.2287,572,1.1128405,7.328,1.134,11.84,87,0,9
137,30.9015,657,1.2907662,8.339,1.482,9.14,91,0,19
138,22.9255,484,1.1950617,7.389,1.333,9.65,91,0,14
139,19.7583,932,1.1269649,7.52,1.238,11.56,96,0,19
140,26.3976,749,1.1870048,9.4,1.617,10.52,88,0,11
141,19.5197,656,1.1408696,7.833,1.232,12.32,87,0,18
142,25.6534,320,1.0810811,5.451,1.451,11.17,83,0,9
143,72.9715,541,1.0973631,7.281,1.14,13.57,77,0,19
144,23.7159,1105,1.1321721,6.439,1.179,8.84,83,0,23
145,19.6762,543,0.9748653,7.065,1.194,11.72,81,0,9
146,21.4709,716,1.081571,7.797,1.359,13.84,84,0,12
147,19.3798,538,1.1208333,7.068,1.153,12.92,84,1,15
148,119.719,573,1.047532,8.192,1.423,14.44,73,0,13
149,23.4621,763,1.1613394,7.159,1.268,12.44,94,0,13
150,23.5188,931,1.1030806,6.856,1.216,11.7,96,0,11
151,22.1288,487,1.0563991,6.113,1.113,10.46,84,0,8
152,222.876,474,1.025974,6.646,1.046,11.86,77,0,14
153,23.2121,598,1.0833333,5.976,1.098,9.2,71,0,16
154,21.5667,1248,1.1345455,7.528,1.285,13.22,93,0,25
155,24.5347,476,1.1638142,6.466,1.276,10.76,86,2,11
156,23.6932,1049,1.1527473,7.394,1.3,12.34,96,0,32
157,20.938,653,1.3272358,7.561,1.246,10.32,79,0,22
158,18.3869,366,1.2281879,4.836,0.891,6.61,65,0,12
159,19.0213,404,1.1444759,5.459,1.131,5.94,75,0,28
160,21.9131,377,0.9520202,6.018,1.091,13.48,77,0,13
161,23.5058,469,1.1113744,6.667,1.167,11.34,78,1,10
162,21.3389,470,1.1868687,7.385,1.404,10.14,81,0,2
163,22.6283,816,1.088,7.544,1.267,12.24,96,0,23
164,23.1688,938,1.2056555,7.469,1.302,13.4,96,0,24
165,32.9579,928,1.1836735,6.074,1.164,8.82,94,0,37
166,21.0807,964,1.1004566,7.798,1.245,12.06,97,0,20
167,20.3135,610,1.1131387,8,1.5,10.26,82,1,37
168,22.5867,952,1.2158365,7.933,1.371,11.82,98,0,24
169,26.7537,530,1.3383838,6.679,1.375,10.14,90,0,17
170,25.5331,773,1.0488467,7.833,1.298,14,95,0,18
171,24.1742,440,1.0653753,5.746,1.111,12.68,74,0,27
172,20.4403,641,1.1761468,7.314,1.2,12.78,88,0,10
173,26.3957,801,1.0942623,6.379,1.238,11.08,96,0,11
174,69.1224,513,1.1225383,7.696,1.232,10.4,84,0,20
175,25.2639,885,1.1160151,9.253,1.671,15.68,97,1,28
176,16.1751,429,1.1201044,5.871,0.355,5.75,52,0,7
177,23.0063,962,1.1760391,7.872,1.436,13.12,102,0,20
178,22.7935,993,1.0996678,6.735,1.137,10.14,71,0,21
179,21.2111,535,1.0963115,6.984,1.127,12.4,86,3,9
180,22.2482,1302,1.1656222,8.186,1.363,13.28,98,0,37
181,23.363,547,1.1255144,6.485,1.258,12.34,86,2,13
182,24.6116,893,1.1434059,9.289,1.395,13.04,92,0,38
183,26.5664,487,1.1093394,6.079,1.175,7.06,83,0,9
184,22.4873,944,1.1079812,7.649,1.245,9.9,93,5,27
185,23.6553,567,1.1161417,7.7,1.533,11.8,91,0,10
186,22.0329,711,1.2279793,8.029,1.357,9.98,96,0,17
187,19.2562,516,1.2585366,6.206,1.27,9.06,93,0,17
188,19.155,364,1.205298,5.226,1.094,5.94,72,0,23
189,19.8655,851,1.1770401,7.411,1.289,12.36,92,0,22
190,21.9556,722,1.1645161,8.937,1.508,14.28,87,0,17
191,23.3134,600,1.2145749,6.315,1.315,8.96,90,0,12
192,23.1193,490,1,6.431,1.169,13.16,84,0,20
193,20.3696,579,1.1007605,7.294,1.235,12.08,83,0,4
194,21.8254,699,1.2328042,6.986,1.329,8.36,88,0,18
195,20.0998,467,1.1588089,5.847,1.186,5.34,75,0,14
196,21.0014,494,1.2019465,5.932,0.949,9.3,72,0,5
197,19.4043,912,1.14,7.182,1.141,12.92,98,0,40
198,19.3574,505,1.1826698,6.831,1.254,12.46,82,0,12
199,18.9932,718,1.1674797,7.767,1.342,12.76,97,0,8
200,21.3513,415,1.0427136,6.365,1.327,11.24,82,0,8
201,60.4971,584,1.145098,6.914,1.086,9.22,90,0,10
202,19.9908,539,1.1820175,5.89,0.973,4.76,78,0,39
203,21.5658,1285,1.2439497,7.103,1.295,11,89,0,36
204,21.2782,500,1.2077295,7.37,1.37,8.67,95,0,28
205,25.9245,695,1.2344583,5.097,1,7.22,94,0,30
206,18.6032,488,1.2642487,6.84,1.24,7.34,81,0,5
207,23.8775,545,1.1571125,6.5,1.171,8.86,92,0,35
208,19.6369,537,1.2576112,7.472,1.226,10.72,83,0,12
209,18.401,475,1.128266,6.702,1.123,12.16,80,0,8
210,20.5496,730,1.1793215,7.795,1.356,11.84,92,0,14
211,20.5012,831,0.9987981,7.17,1.15,12.02,83,0,38
212,19.5055,852,1.1983122,8,1.185,13.44,90,0,31
213,21.665,653,1.2729045,6.573,1.253,7.88,90,0,12
214,20.2382,343,0.9527778,5.783,1.25,9.86,75,0,8
215,83.8411,950,1.120283,6.76,1.038,12.26,86,0,12
216,22.5795,606,1.1018182,8.016,1.475,13.46,91,0,17
217,24.6593,934,1.0835267,6.908,1.367,13.14,94,0,23
218,21.0883,487,1.1351981,6.237,1.169,6.85,81,0,11
219,22.0505,433,1.2336182,5.796,1.167,10.86,76,0,5
220,22.2955,1099,1.2224694,7.718,1.309,12.16,103,0,24
221,23.9454,408,0.9668246,6.947,1.368,15.33,82,0,18
222,17.4378,555,1.3405797,6.895,1.211,7.18,81,0,5
223,19.669,338,1.0903226,4.625,1.094,7.66,64,0,1
224,23.9659,973,1.2769029,7.835,1.44,8.5,93,0,26
225,23.2434,440,0.9322034,6.294,1.25,11.16,78,1,25